Timestamp_Accel,SystemActivated,AccelX,AccelY,AccelZ,AccelX_KF,AccelY_KF,AccelZ_KF,Roll,Pitch,Yaw,Timestamp_GPS,Speed,Latitude,Longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
11.05,1.0,0.043,0.005,0.007,0.049,0.005,0.025,-1.515,0.032,0.04,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.15,1.0,0.014,0.023,0.062,0.034,-0.004,0.036,-1.515,0.032,0.041,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.25,1.0,0.044,-0.093,0.058,0.029,-0.027,0.051,-1.513,0.03,0.042,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.35,1.0,-0.04,0.008,0.018,0.007,-0.028,0.042,-1.511,0.025,0.043,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.45,1.0,-0.076,0.005,0.019,-0.035,-0.003,0.019,-1.514,0.022,0.044,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.56,1.0,-0.078,0.018,0.079,-0.067,0.007,0.049,-1.518,0.02,0.044,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.65,1.0,-0.023,-0.001,0.063,-0.053,0.002,0.064,-1.523,0.022,0.046,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.75,1.0,0.014,0.001,0.066,-0.016,0.01,0.062,-1.529,0.022,0.047,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.85,1.0,0.056,0.017,0.071,0.025,0.006,0.065,-1.533,0.018,0.048,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
11.96,1.0,0.067,-0.009,0.045,0.037,0.004,0.059,-1.533,0.014,0.048,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.06,1.0,0.032,-0.051,0.071,0.053,-0.023,0.062,-1.534,0.017,0.049,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.15,1.0,0.02,-0.074,0.035,0.032,-0.051,0.058,-1.535,0.023,0.05,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.26,1.0,-0.009,-0.032,0.032,0.016,-0.052,0.036,-1.536,0.022,0.051,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.36,1.0,-0.043,-0.022,0.046,-0.015,-0.028,0.041,-1.542,0.018,0.052,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.46,1.0,-0.063,-0.008,0.034,-0.04,-0.022,0.04,-1.544,0.013,0.053,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.56,1.0,0.015,0.003,0.052,-0.018,-0.006,0.042,-1.548,0.013,0.055,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.66,1.0,-0.015,-0.02,0.047,-0.023,-0.01,0.05,-1.554,0.015,0.057,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.76,1.0,0.022,-0.02,0.031,0.01,-0.018,0.037,-1.555,0.019,0.058,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.86,1.0,0.026,-0.058,0.041,0.014,-0.031,0.042,-1.56,0.022,0.06,11.91,61.2,40.513477,-3.404971,613.8,3,5,329.4,1.406
12.96,1.0,-0.002,-0.011,0.035,0.012,-0.025,0.037,-1.567,0.022,0.062,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.06,1.0,-0.005,-0.025,0.014,0.002,-0.032,0.025,-1.568,0.024,0.064,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.16,1.0,-0.002,-0.034,0.018,-0.004,-0.026,0.022,-1.569,0.025,0.067,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.26,1.0,-0.014,-0.032,0.026,-0.007,-0.036,0.023,-1.573,0.028,0.069,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.36,1.0,-0.0,-0.006,0.022,-0.008,-0.016,0.021,-1.575,0.031,0.072,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.46,1.0,0.036,-0.011,0.031,0.009,-0.017,0.027,-1.576,0.034,0.075,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.56,1.0,0.02,-0.058,0.019,0.025,-0.026,0.025,-1.574,0.034,0.079,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.66,1.0,0.017,-0.074,0.029,0.02,-0.057,0.023,-1.574,0.033,0.082,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.76,1.0,0.004,-0.036,0.017,0.01,-0.052,0.024,-1.575,0.033,0.085,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.86,1.0,0.002,-0.012,0.014,0.012,-0.031,0.018,-1.576,0.039,0.087,12.900000000000002,61.7,40.513615,-3.40508,614.0,3,5,328.7,1.406
13.96,1.0,0.022,0.066,0.037,0.01,0.009,0.024,-1.576,0.045,0.09,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.06,1.0,-0.011,0.017,0.019,0.007,0.036,0.028,-1.575,0.049,0.093,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.16,1.0,-0.033,-0.028,0.01,-0.013,-0.004,0.018,-1.575,0.054,0.096,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.26,1.0,-0.004,-0.052,0.032,-0.022,-0.035,0.023,-1.574,0.056,0.098,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.36,1.0,0.031,0.072,0.021,0.009,0.011,0.022,-1.573,0.055,0.098,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.47,1.0,0.043,0.052,0.013,0.024,0.052,0.018,-1.572,0.056,0.099,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.56,1.0,0.028,0.04,0.043,0.036,0.039,0.024,-1.572,0.056,0.1,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.67,1.0,0.033,0.011,0.024,0.033,0.031,0.033,-1.569,0.056,0.1,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.77,1.0,0.036,0.052,0.029,0.027,0.026,0.029,-1.567,0.056,0.101,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.87,1.0,-0.01,-0.009,0.02,0.019,0.02,0.025,-1.567,0.059,0.101,13.93,64.3,40.513741,-3.405192,614.3,3,5,327.0,2.461
14.97,1.0,-0.057,0.023,0.033,-0.021,0.021,0.026,-1.574,0.054,0.101,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.07,1.0,-0.034,0.042,0.037,-0.037,0.026,0.032,-1.58,0.05,0.1,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.17,1.0,0.01,0.075,0.027,-0.015,0.051,0.032,-1.583,0.04,0.1,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.27,1.0,0.018,0.03,0.008,0.008,0.043,0.017,-1.583,0.034,0.1,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.37,1.0,-0.008,-0.022,0.016,0.004,0.021,0.017,-1.584,0.031,0.1,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.47,1.0,-0.017,-0.031,0.023,-0.009,-0.019,0.022,-1.586,0.03,0.101,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.57,1.0,-0.019,-0.011,0.014,-0.017,-0.017,0.018,-1.586,0.03,0.101,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.67,1.0,-0.03,-0.011,0.001,-0.021,-0.007,0.011,-1.586,0.03,0.101,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.77,1.0,-0.014,-0.013,0.024,-0.018,-0.01,0.011,-1.587,0.03,0.102,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.87,1.0,-0.01,-0.023,0.013,-0.014,-0.015,0.017,-1.589,0.029,0.103,14.91,66.8,40.513882,-3.405315,614.6,3,5,325.5,3.164
15.97,1.0,0.022,0.031,0.014,0.0,0.005,0.015,-1.59,0.027,0.103,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.07,1.0,-0.012,0.026,-0.001,0.002,0.014,0.009,-1.589,0.027,0.103,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.17,1.0,-0.021,0.008,0.003,-0.012,0.012,0.002,-1.588,0.023,0.103,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.27,1.0,-0.044,-0.007,0.013,-0.03,0.006,0.008,-1.589,0.025,0.103,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.37,1.0,-0.004,0.021,0.01,-0.02,0.009,0.008,-1.59,0.028,0.103,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.47,1.0,0.018,0.023,0.013,-0.001,0.017,0.012,-1.589,0.026,0.102,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.57,1.0,-0.005,0.033,0.002,0.0,0.022,0.01,-1.59,0.023,0.101,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.67,1.0,-0.007,0.034,0.011,-0.001,0.03,0.006,-1.59,0.022,0.1,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.77,1.0,-0.0,0.014,0.004,-0.002,0.03,0.007,-1.592,0.02,0.099,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
16.97,1.0,0.008,-0.038,-0.009,0.002,-0.015,-0.004,-1.592,0.011,0.097,15.919999999999998,68.9,40.514019,-3.405443,614.6,3,5,325.9,1.055
17.07,1.0,-0.024,-0.011,0.01,-0.004,-0.012,0.003,-1.593,0.01,0.096,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.17,1.0,-0.006,0.011,-0.01,-0.013,-0.005,-0.004,-1.592,0.01,0.095,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.28,1.0,-0.02,0.008,-0.004,-0.018,0.002,-0.005,-1.593,0.009,0.094,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.38,1.0,-0.018,-0.006,0.001,-0.015,0.003,-0.005,-1.594,0.005,0.093,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.48,1.0,-0.03,0.015,-0.005,-0.025,0.005,-0.005,-1.594,0.002,0.091,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.58,1.0,-0.006,0.02,0.003,-0.018,0.014,0.001,-1.594,0.003,0.09,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.68,1.0,0.038,0.067,-0.0,0.012,0.038,0.001,-1.596,0.004,0.089,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.78,1.0,0.029,0.033,-0.002,0.028,0.046,0.002,-1.595,0.005,0.088,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.88,1.0,0.022,0.049,-0.012,0.024,0.035,-0.003,-1.594,0.006,0.087,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
17.98,1.0,-0.04,-0.026,-0.007,-0.004,0.015,-0.009,-1.595,0.006,0.085,16.9,71.4,40.514164,-3.405575,614.6,3,5,325.5,0.352
18.08,1.0,-0.035,0.014,-0.008,-0.024,0.012,-0.01,-1.595,0.006,0.084,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.18,1.0,-0.026,0.012,-0.03,-0.031,0.005,-0.014,-1.595,0.006,0.083,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.28,1.0,-0.037,0.007,-0.026,-0.027,0.014,-0.028,-1.591,0.004,0.082,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.38,1.0,-0.033,0.014,-0.044,-0.035,0.011,-0.029,-1.59,0.002,0.08,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.48,1.0,-0.027,0.001,-0.038,-0.031,0.008,-0.038,-1.586,-0.001,0.079,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.58,1.0,-0.002,0.022,-0.054,-0.02,0.012,-0.044,-1.582,-0.001,0.078,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.68,1.0,-0.02,0.014,-0.035,-0.013,0.017,-0.043,-1.579,-0.002,0.076,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.78,1.0,-0.012,0.018,-0.054,-0.019,0.015,-0.047,-1.574,-0.004,0.075,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.88,1.0,-0.016,0.01,-0.042,-0.013,0.014,-0.048,-1.569,-0.006,0.074,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
18.98,1.0,0.001,0.018,-0.033,-0.009,0.008,-0.036,-1.567,-0.005,0.072,17.89,73.5,40.514317,-3.405716,614.6,4,5,325.9,0.352
19.08,1.0,-0.012,-0.015,-0.056,-0.007,0.008,-0.046,-1.563,-0.001,0.071,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.18,1.0,-0.007,0.017,-0.038,-0.005,0.007,-0.045,-1.564,-0.001,0.07,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.28,1.0,-0.012,0.002,-0.043,-0.016,-0.004,-0.042,-1.565,-0.001,0.068,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.38,1.0,-0.04,-0.013,-0.02,-0.021,-0.0,-0.033,-1.565,-0.0,0.067,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.49,1.0,-0.011,0.01,-0.03,-0.02,0.007,-0.031,-1.565,0.0,0.066,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.59,1.0,0.01,0.023,-0.015,-0.007,0.011,-0.021,-1.564,0.002,0.065,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.69,1.0,0.011,0.02,-0.015,0.005,0.015,-0.019,-1.563,0.003,0.063,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.79,1.0,-0.053,0.014,-0.008,-0.014,0.021,-0.017,-1.564,0.001,0.062,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.89,1.0,-0.062,0.004,0.006,-0.044,0.009,-0.003,-1.565,-0.001,0.061,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
19.99,1.0,-0.05,0.003,0.032,-0.052,0.005,0.013,-1.571,-0.004,0.06,18.91,73.5,40.514465,-3.405856,614.3,4,5,325.9,0.352
20.09,1.0,0.003,0.016,0.04,-0.029,0.012,0.027,-1.575,-0.007,0.059,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.19,1.0,0.026,-0.009,0.023,0.001,0.001,0.032,-1.578,-0.008,0.058,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.29,1.0,0.026,-0.015,0.042,0.019,-0.003,0.03,-1.581,-0.011,0.057,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.39,1.0,0.022,0.001,-0.001,0.02,-0.015,0.025,-1.583,-0.015,0.056,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.49,1.0,0.01,-0.022,0.009,0.018,-0.005,0.011,-1.582,-0.017,0.055,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.6,1.0,-0.039,-0.031,-0.001,-0.004,-0.027,0.008,-1.583,-0.02,0.055,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.69,1.0,-0.104,-0.013,0.004,-0.054,-0.014,0.001,-1.585,-0.024,0.054,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.79,1.0,-0.065,0.002,-0.003,-0.075,-0.012,0.0,-1.587,-0.028,0.054,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.89,1.0,-0.012,-0.042,0.016,-0.051,-0.022,0.006,-1.59,-0.032,0.053,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
20.99,1.0,0.052,-0.004,0.017,0.007,-0.015,0.01,-1.592,-0.031,0.053,19.89,73.8,40.514614,-3.405996,614.3,4,5,326.2,0.352
21.09,1.0,0.052,-0.01,-0.002,0.037,-0.011,0.011,-1.591,-0.033,0.052,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.19,1.0,-0.01,-0.013,-0.001,0.019,-0.011,-0.001,-1.591,-0.034,0.053,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.29,1.0,-0.009,0.004,-0.009,0.0,-0.005,-0.003,-1.592,-0.031,0.052,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.39,1.0,-0.026,-0.006,-0.003,-0.011,-0.005,-0.003,-1.592,-0.031,0.053,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.49,1.0,-0.031,-0.008,-0.008,-0.026,-0.007,-0.005,-1.591,-0.033,0.054,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.59,1.0,-0.027,-0.032,-0.005,-0.025,-0.017,-0.006,-1.592,-0.032,0.055,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.7,1.0,0.011,-0.017,0.001,-0.013,-0.019,-0.004,-1.592,-0.031,0.056,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.8,1.0,0.002,-0.043,0.001,-0.0,-0.032,0.001,-1.593,-0.031,0.058,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
21.9,1.0,0.006,-0.055,-0.014,0.005,-0.041,-0.007,-1.592,-0.031,0.06,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
22.0,1.0,-0.025,-0.037,-0.017,-0.01,-0.043,-0.011,-1.591,-0.028,0.062,20.919999999999998,75.7,40.514771,-3.406132,613.9,4,5,327.0,1.055
22.09,1.0,-0.048,-0.057,-0.003,-0.028,-0.047,-0.01,-1.591,-0.025,0.065,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.19,1.0,-0.04,-0.034,-0.012,-0.04,-0.041,-0.01,-1.591,-0.023,0.067,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.3,1.0,-0.018,-0.039,-0.013,-0.032,-0.046,-0.011,-1.591,-0.021,0.071,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.4,1.0,0.001,-0.061,-0.009,-0.011,-0.042,-0.011,-1.591,-0.019,0.074,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.5,1.0,-0.001,-0.05,-0.002,-0.007,-0.054,-0.009,-1.591,-0.019,0.078,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.6,1.0,-0.019,-0.064,0.0,-0.009,-0.056,-0.0,-1.59,-0.016,0.083,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.7,1.0,-0.012,-0.056,-0.001,-0.011,-0.057,-0.004,-1.59,-0.01,0.088,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.8,1.0,-0.014,-0.06,-0.021,-0.016,-0.065,-0.007,-1.589,-0.006,0.092,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
22.9,1.0,-0.005,-0.081,0.006,-0.012,-0.063,-0.006,-1.588,-0.003,0.098,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
23.0,1.0,-0.043,-0.046,-0.011,-0.016,-0.057,-0.005,-1.587,-0.0,0.103,21.97,78.0,40.515102,-3.406422,614.5,4,5,324.5,0.352
23.1,1.0,-0.02,-0.049,-0.007,-0.024,-0.056,-0.009,-1.587,0.006,0.108,22.98,78.3,40.515263,-3.406583,615.2,4,5,322.0,2.461
23.2,1.0,-0.04,-0.056,-0.015,-0.035,-0.059,-0.006,-1.588,0.011,0.113,22.98,78.3,40.515263,-3.406583,615.2,4,5,322.0,2.461
